state_name,county_name,total_2012,dem_2012,pct_dem_2012,gop_2012,pct_gop_2012,oth_2012,pct_oth_2012,total_2016,dem_2016,pct_dem_2016,gop_2016,pct_gop_2016,oth_2016,pct_oth_2016,trump_county
indiana,Marion County,357745,215474,60.23,136131,38.05,6140,1.72,361070,212676,58.90,130228,36.07,18166,5.03,Clinton Won
virginia,Stafford County,60338,27130,44.96,32429,53.75,779,1.29,65350,27879,42.66,33840,51.78,3631,5.56,Trump Won
louisiana,Saint Tammany Parish,112884,25723,22.79,84710,75.04,2451,2.17,124389,27716,22.28,90914,73.09,5759,4.63,Trump Won
NA,Waynesboro City,8772,3836,43.73,4789,54.59,147,1.68,9114,3762,41.28,4798,52.64,554,6.08,Trump Won
oregon,Yamhill County,41750,18906,45.28,21711,52.00,1133,2.71,45116,18635,41.30,22589,50.07,3892,8.63,Trump Won
washington,Spokane County,202088,91977,45.51,104797,51.86,5314,2.63,201592,83941,41.64,100669,49.94,16982,8.42,Trump Won
tennessee,Shelby County,370749,232201,62.63,135536,36.56,3012,0.81,331861,206640,62.27,114948,34.64,10273,3.10,Clinton Won
kansas,Stanton County,713,135,18.93,571,80.08,7,0.98,742,132,17.79,580,78.17,30,4.04,Trump Won
new mexico,McKinley County,21313,15363,72.08,5420,25.43,530,2.49,20791,13162,63.31,4893,23.53,2736,13.16,Clinton Won
kansas,Stevens County,1998,241,12.06,1724,86.29,33,1.65,1853,215,11.60,1564,84.40,74,3.99,Trump Won
kansas,Saline County,21102,6910,32.75,13697,64.91,495,2.35,21206,6084,28.69,13367,63.03,1755,8.28,Trump Won
georgia,Dawson County,10234,1241,12.13,8843,86.41,150,1.47,11680,1444,12.36,9880,84.59,356,3.05,Trump Won
nebraska,Blaine County,301,29,9.63,268,89.04,4,1.33,313,30,9.58,273,87.22,10,3.19,Trump Won
wyoming,Uinta County,8453,1628,19.26,6613,78.23,212,2.51,8053,1202,14.93,6154,76.42,697,8.66,Trump Won
wisconsin,Washington County,78558,23136,29.45,54709,69.64,713,0.91,76246,20854,27.35,51729,67.84,3663,4.80,Trump Won
new mexico,Roosevelt County,5949,1719,28.90,4032,67.78,198,3.33,5855,1445,24.68,3865,66.01,545,9.31,Trump Won
texas,Nacogdoches County,20601,6441,31.27,13910,67.52,250,1.21,22430,6822,30.41,14751,65.76,857,3.82,Trump Won
kansas,Shawnee County,74844,35959,48.05,37226,49.74,1659,2.22,73648,33270,45.17,35349,48.00,5029,6.83,Trump Won
alabama,Montgomery County,101781,62993,61.89,38283,37.61,505,0.50,94572,58669,62.04,33928,35.88,1975,2.09,Clinton Won
maryland,Frederick County,109127,51187,46.91,55495,50.85,2445,2.24,114962,51891,45.14,56472,49.12,6599,5.74,Trump Won
kentucky,Woodford County,12331,4883,39.60,7218,58.54,230,1.87,13547,4958,36.60,7697,56.82,892,6.58,Trump Won
