text,screen_name,created,favoriteCount,retweetCount,lang,hashtags,location
"""@TeamTrump: .@mike_pence &amp; @realDonaldTrump are PROVEN job creators and are prepared to bring JOBS BACK to the American people!",realDonaldTrump,2016-05-10,16563,4636,en,NA,NA
".@mike_pence is doing a great job - so far, no contest!",realDonaldTrump,2016-05-10,42251,10584,en,NA,NA
"""@ARSenMissyIrvin: I want a ""you're fired"" president with people in Govt who are WASTING my tax $'s. @realDonaldTrump""",realDonaldTrump,2016-05-10,17598,5074,en,NA,NA
"""@carol_lcnixon67: @realDonaldTrump Kaine says Hillary and he have plans. She could care less what Kaine thinks.""",realDonaldTrump,2016-05-10,16760,4327,en,NA,NA
"""@ifdanyt: @realDonaldTrump Loving @mike_pence he's so likeable and sensible. Kaine is just talking bull!",realDonaldTrump,2016-05-10,19163,4742,en,NA,NA
"""@bcuzimdamomma: @FreeDavidKing No she only gets #Americans killed #Benghazi - we need @realDonaldTrump #MAGA""",realDonaldTrump,2016-05-10,13143,3561,en,Americans Benghazi MAGA,NA
".@timkaine oversaw unemployment INCREASE by 179,249 while @mike_pence DECREASED unemployment in Indiana by 113,826. https://t.co/wFQM8kg287",realDonaldTrump,2016-05-10,20856,9768,en,NA,NA
"""@aldonturnaolco1: @FrankLuntz @marthamaccallum @realDonaldTrump good!!""",realDonaldTrump,2016-05-10,8323,1776,en,NA,NA
RT @seanspicer: .@timkaine wants to tough on crime - fails to talk about defending rapists and murders #VPDebate,realDonaldTrump,2016-05-10,0,3553,en,VPDebate,NA
RT @TeamTrump: Law enforcement officers bring communities together &amp; keep us safe. @mike_pence &amp; @realDonaldTrump RESPECT &amp; stand by them!,realDonaldTrump,2016-05-10,0,8537,en,NA,NA
"""@GeeVeeM: @realDonaldTrump @Susiesentinel Pence is so prepared! He did his homework to outperform Kaine.""",realDonaldTrump,2016-05-10,27035,6615,en,NA,NA
"RT @TeamTrump: Police officers are the BEST of us. Law enforcement in this country is a force for GOOD."" - @mike_pence #VPDebate #BigLeagu",realDonaldTrump,2016-05-10,0,5855,en,VPDebate,NA
".@HillaryClinton Sneers At Millions Of Average Americans.https://t.co/gEfURjRCfu #VPDebate #BigLeagueTruth",realDonaldTrump,2016-05-10,16892,6202,en,VPDebate BigLeagueTruth,Nevada
"I agree Mike - thank you to all of our law enforcement officers! #VPDebate ""Police officers are the best of us...""@Mike_Pence",realDonaldTrump,2016-05-10,36467,10888,en,VPDebate,NA
"WHAT THEY ARE SAYING ABOUT MIKE PENCE DOMINATING THE DEBATE:https://t.co/mUw9S5GgNM #VPDebate",realDonaldTrump,2016-05-10,21675,6769,en,VPDebate,Nevada
RT @GOP: In @timkaine's own words <U+2B07><U+FE0F> #Debates2016 https://t.co/PMngoKHUjA,realDonaldTrump,2016-05-10,0,8201,en,Debates2016,NA
".@mike_pence and I will defeat #ISIS.https://t.co/oCIIDwtptV #VPDebate",realDonaldTrump,2016-05-10,20834,6030,en,ISIS VPDebate,Nevada
"CLINTONS FLAILING SYRIA POLICY WAS JUDGED A FAILURE:https://t.co/ICZxn7Q3vZ #VPDebate",realDonaldTrump,2016-05-10,17069,6179,en,VPDebate,Nevada
"RT @TeamTrump: We need STRONG, BROAD-SHOULDERED leadership like @mike_pence &amp; @realDonaldTrump in the White House! #VPDebate #BigLeagueTrut",realDonaldTrump,2016-05-10,0,6972,en,VPDebate,NA
.@timkaine is the ANTI-DEFENSE SENATOR. #VPDebate #BigLeagueTruth https://t.co/qWkvGFARA1,realDonaldTrump,2016-05-10,15116,7009,en,VPDebate BigLeagueTruth,Nevada
ICYMI: PENCE: I RAN A STATE THAT WORKED; KAINE RAN A STATE THAT FAILED. https://t.co/XuWaueNkH0,realDonaldTrump,2016-05-10,22582,8749,en,NA,Nevada
".@timkaine is wrong for defense: https://t.co/QN9qqoq1kH #BigLeagueTruth #VPDebate",realDonaldTrump,2016-05-10,15002,5267,en,BigLeagueTruth VPDebate,Nevada
"Sanctions Relief From Clinton-Obama Iran Nuclear Deal Likely Go to Terrorists:https://t.co/lM80JriF9k #BigLeagueTruth #VPDebate",realDonaldTrump,2016-05-10,15040,6182,en,BigLeagueTruth VPDebate,Nevada
"CLINTONS CLOSE TIES TO PUTIN DESERVE SCRUTINY:https://t.co/wPYm5vQoyt #VPDebate",realDonaldTrump,2016-05-10,19734,10656,en,VPDebate,Nevada
"RT @TeamTrump: Obama-Clinton FAILED foreign policy:-Bad nuclear deal-Ransom payment to leading state sponsor of terror-Sharing classifie",realDonaldTrump,2016-05-10,0,5962,en,NA,NA
RT @TeamTrump: .@HillaryClinton &amp; @timkaine think you're #Deplorables &amp; #BasementDwellers. @realDonaldTrump &amp; @mike_pence think you're PATR,realDonaldTrump,2016-05-10,0,6982,en,Deplorables BasementDwellers,NA
"CLINTON IS WEAK ON NORTH KOREA:https://t.co/8pRednmnFX #VPDebate",realDonaldTrump,2016-05-10,18333,6285,en,VPDebate,Nevada
".@HillaryClintons Careless Use Of A Secret Server Put National Security At Risk: https://t.co/OiAEMnrGcy #VPDebate#BigLeagueTruth",realDonaldTrump,2016-05-10,22428,8816,en,VPDebate BigLeagueTruth,Nevada
"""@FLifeforce: @_CFJ_ @vine That is a reason to NOT Vote for Hillary Clinton. Vote for Liberty! Vote for @realDonaldTrump""",realDonaldTrump,2016-05-10,18802,6003,en,NA,NA
"Clintons Top Aides Were Mired In Conflict Of Interest At The State Department: https://t.co/wWfdaECtVu#VPDebate #BigLeagueTruth",realDonaldTrump,2016-05-10,16652,6546,en,VPDebate BigLeagueTruth,Nevada
"""@Gsimmons03Ginny: @realDonaldTrump ..Kaine is awful, Trump and Pence are the ticket..no more lies, we are ready to see America Great Again!",realDonaldTrump,2016-05-10,30516,9306,en,NA,NA
"""@AnyoneTennis: @timkaine Cannot believe how often the moderator interrupts #Pence vs the other guy...so obvious @FoxNews""  So true!",realDonaldTrump,2016-05-10,32298,10082,en,Pence,NA
RT @TeamTrump: .@timkaine's Abortion Flip-Flops: From Valuing The Sanctity of Life --&gt; Pro-Abortion Demagogue #VPdebate https://t.co/aK4061,realDonaldTrump,2016-05-10,0,5852,en,VPdebate,NA
RT @TeamTrump: RT if you agree - @HillaryClinton &amp; @timkaine are WRONG for America! #VPDebate #MAGA https://t.co/2MZfFzCo6c,realDonaldTrump,2016-05-10,0,15089,en,VPDebate MAGA,NA
RT @mike_pence: History teaches us that weakness arouses evil. America needs to be strong on the world stage. #VPDebate https://t.co/FJ59o5,realDonaldTrump,2016-05-10,0,13149,en,VPDebate,NA
Mike Pence won big. We should all be proud of Mike!,realDonaldTrump,2016-05-10,118731,35241,en,NA,NA
The constant interruptions last night by Tim Kaine should not have been allowed. Mike Pence won big!,realDonaldTrump,2016-05-10,48347,13108,en,NA,NA
Beautiful morning- thank you @ICLV! https://t.co/xzJhrLgjHP,realDonaldTrump,2016-05-10,19089,7436,en,NA,Nevada
"About to begin a rally here in Henderson, Nevada. New Reuters poll just out- thank you! Join the MOVEMENT: https://t.co/uvbntNsxGl",realDonaldTrump,2016-05-10,15324,6073,en,NA,Henderson Pavilion
"Thank you Henderson, NV. This is a MOVEMENT like never seen before! Watch some of the rally via my Facebook page: https://t.co/dNF8G4VUqY",realDonaldTrump,2016-05-10,15090,5931,en,NA,Las Vegas
"Bill Clinton is right: Obamacare is 'crazy', 'doesn't work' and 'doesn't make sense'.  Thanks Bill for telling the truth.",realDonaldTrump,2016-05-10,40311,16197,en,NA,Nevada
Thank you @SenJohnMcCain for your kind remarks on the important issue of PTSD and the dishonest media. Great to be in Arizona yesterday!,realDonaldTrump,2016-05-10,29826,10547,en,NA,Nevada
"'Small business says Trump is their pick for president'https://t.co/tzVN9QgPFS",realDonaldTrump,2016-05-10,22349,9661,en,NA,Nevada
"EARLY VOTING: MN &amp; IA already underway, more states coming up in the next week: OH, ME, AZ, IN  check w/local officials for details &amp; VOTE!",realDonaldTrump,2016-05-10,19039,8007,en,NA,Reno
"Thank you South Carolina! Everyone has to get out and VOTE on 11/8/16. #MakeAmericaGreatAgain https://t.co/os7EmRCdPf",realDonaldTrump,2016-05-10,17119,6955,en,MakeAmericaGreatAgain,Reno
"Reuters polling just out- thank you!#MakeAmericaGreatAgain https://t.co/UMY6kOiSTu",realDonaldTrump,2016-05-10,28959,13355,en,MakeAmericaGreatAgain,Reno
"Amazing rally in Reno, Nevada- thank you. Make sure you get out on 11/8 &amp; VOTE #TrumpPence16. Together, we will put https://t.co/6gPJhb29xk",realDonaldTrump,2016-06-10,18566,6991,en,TrumpPence16,Nevada
"Such a great honor! https://t.co/vt4AmLdkeP",realDonaldTrump,2016-06-10,19849,8752,en,NA,United States
"Nation's Immigration And Customs Enforcement Officers (ICE) Make First-Ever Presidential Endorsement:https://t.co/eO1UY5N9J1",realDonaldTrump,2016-06-10,20444,8999,en,NA,United States
"Pennsylvania poll just released. Two rallies there on Mon- join me!Ambridge: https://t.co/TujWDWcgd3Wilkes-Barre: https://t.co/TeIeCttUpP",realDonaldTrump,2016-06-10,18961,8616,en,NA,United States
"New Virginia poll- thank you! We are going to show the whole world that America is back  BIGGER, and BETTER, and S https://t.co/2CikEXb0G7",realDonaldTrump,2016-06-10,30770,12088,en,NA,United States
"Praying for everyone in Florida. Hoping the hurricane dissipates, but in any event, please be careful.",realDonaldTrump,2016-06-10,52463,17127,en,NA,United States
RT @IvankaTrump: Thank you Angie Phillips for inviting me to tour your plant Middletown Tube Works. #Ohio https://t.co/fUKiiEIBXT,realDonaldTrump,2016-06-10,0,4372,en,Ohio,NA
"RT @DonaldJTrumpJr: Great group at our Victory Office in Columbus, Ohio. I'm incredibly grateful to have so many https://t.co/rLJWCAGRlW",realDonaldTrump,2016-06-10,0,3358,en,NA,NA
"Volunteer to be a Trump Election Observer. Sign up today!#MakeAmericaGreatAgainhttps://t.co/ZzFHlsWnh4",realDonaldTrump,2016-06-10,13601,7746,en,MakeAmericaGreatAgain,NA
'Donald Trump: A President for All Americans' https://t.co/3lU2vrUE3t,realDonaldTrump,2016-06-10,23180,10829,en,NA,NA
VOTE #TrumpPence16 on 11/8/16! https://t.co/12zAk8VmgK,realDonaldTrump,2016-06-10,19556,8971,fr,TrumpPence16,NA
Thank you Tennessee! #MAGA https://t.co/OoDFmerQ5B,realDonaldTrump,2016-06-10,27859,10878,en,MAGA,NA
New National Rasmussen Poll: https://t.co/BnAveA5OuP,realDonaldTrump,2016-06-10,28691,12745,de,NA,NA
"""@kevcirilli: Trump speaking in exact same tone he did in Waterville Valley on 12/1. The night I first realized he was gonna be GOP nominee""",realDonaldTrump,2016-07-10,20121,6774,en,NA,NA
"Thoughts &amp; prayers with the millions of people in the path of Hurricane Matthew. Look out for neighbors, and listen https://t.co/JqjyTiKicD",realDonaldTrump,2016-07-10,52225,17210,en,NA,NA
Here is my statement. https://t.co/WAZiGoQqMQ,realDonaldTrump,2016-08-10,118565,51050,en,NA,United States
Certainly has been an interesting 24 hours!,realDonaldTrump,2016-08-10,61181,21778,en,NA,NA
"The media and establishment want me out of the race so badly -  I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",realDonaldTrump,2016-08-10,104283,40177,en,MAGA,NA
RT @atensnut: How many times must it be said? Actions speak louder than words. DT said bad things!HRC threatened me after BC raped me.,realDonaldTrump,2016-08-10,0,36447,en,NA,NA
"RT @atensnut: Hillary calls Trump's remarks ""horrific"" while she lives with and protects a ""Rapist"".  Her actions are horrific.",realDonaldTrump,2016-08-10,0,36416,en,NA,NA
Thank you to my great supporters in Wisconsin. I heard that the crowd and enthusiasm was unreal!,realDonaldTrump,2016-09-10,51781,15251,en,NA,NA
"Tremendous support (except for some Republican ""leadership""). Thank you.",realDonaldTrump,2016-09-10,56324,17990,en,NA,NA
"EXCLUSIVE  Video Interview: Bill Clinton Accuser Juanita Broaddrick Relives Brutal Rapes:https://t.co/9j7f8VK9Md",realDonaldTrump,2016-09-10,24799,16366,en,NA,NA
"""@Jodygirl1010: @realDonaldTrump I am a woman who continues to support &amp; stand with #Trump! #dtmag https://t.co/nFmY3FJuEf"" Thank you.",realDonaldTrump,2016-09-10,25547,10280,en,Trump dtmag,NA
"""@eericmyers: @realDonaldTrump  ""Republican leadership"" should have only one job: Help elect the nominee we voted for, Donald J. Trump.""",realDonaldTrump,2016-09-10,29926,11077,en,NA,NA
"""@CharleneOsbor17: @realDonaldTrump politicians don't count. It's the people. We are behind trump all the way to White House.""",realDonaldTrump,2016-09-10,27785,10285,en,NA,NA
"""@maidaa17: @realDonaldTrump GOP traitors! Not supporting U is voting for her, destroying America.",realDonaldTrump,2016-09-10,27340,10159,en,NA,NA
"""@HenryLeledog: @realDonaldTrump This Black Democrat is on the ""TRUMP TRAIN""!!""",realDonaldTrump,2016-09-10,22876,8071,en,NA,NA
So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!,realDonaldTrump,2016-09-10,49667,18086,en,NA,NA
"LA Times- USC Dornsife Sunday Poll: Donald Trump Retains 2 Point Lead Over Hillary:https://t.co/n05rul4Ycw",realDonaldTrump,2016-09-10,22066,9832,en,NA,New York
"Exclusive VideoBroaddrick, Willey, Jones to Bill's Defenders: These Are Crimes, Terrified of Enabler Hillary https://t.co/DMfLsIbtU1",realDonaldTrump,2016-09-10,23304,13650,en,NA,NA
"The Palestinian terror attack today reminds the world of the grievous perils facing Israeli citizens....continued:https://t.co/d2Upx5FitC",realDonaldTrump,2016-09-10,16884,7003,en,NA,NA
Join me on #FacebookLive as I conclude my final #debate preparations. https://t.co/gAbNvI8Fd7,realDonaldTrump,2016-09-10,13042,4455,en,FacebookLive debate,NA
"My team of deplorables will be taking over my Twitter account for tonight's #debate#MakeAmericaGreatAgain",realDonaldTrump,2016-10-10,40461,12391,en,debate MakeAmericaGreatAgain,St Louis
"RT @TeamTrump: .@HillaryClinton just claimed she has a ""positive, optimistic view"" for America. #Debates https://t.co/hOWJYZbD7v",realDonaldTrump,2016-10-10,0,2900,en,Debates,NA
RT @TeamTrump: .@realDonaldTrump is here to talk about the REAL issues #BigLeagueTruth #Debates2016 https://t.co/C5OF7HdJz6,realDonaldTrump,2016-10-10,0,4608,en,BigLeagueTruth Debates2016,NA
Its this simple. Make America Great Again. #debate #BigLeagueTruth,realDonaldTrump,2016-10-10,14240,5696,en,debate BigLeagueTruth,NA
Im not proud of my locker room talk. But this world has serious problems. We need serious leaders. #debate #BigLeagueTruth,realDonaldTrump,2016-10-10,23692,8093,en,debate BigLeagueTruth,NA
"RT @TeamTrump: Quite simply, @HillaryClinton mistreats women. #BigLeagueTruth #Debate2016https://t.co/zhgrulIctf https://t.co/wHtwtnCxxQ",realDonaldTrump,2016-10-10,0,4580,en,BigLeagueTruth Debate2016,NA
Theres never been anyone more abusive to women in politics than Bill Clinton.My words were unfortunate-the Clintons actions were far worse,realDonaldTrump,2016-10-10,36995,13833,en,NA,NA
"Donald J. Trump's History Of Empowering Women #BigLeagueTruthhttps://t.co/oY2YSPz7nB",realDonaldTrump,2016-10-10,9074,3646,en,BigLeagueTruth,University City
RT @TeamTrump: RT if you believe @HillaryClinton is the one who owes America an apology! #BigLeagueTruth #Debates https://t.co/KcmDedSUTw,realDonaldTrump,2016-10-10,0,6839,en,BigLeagueTruth Debates,NA
If I win-I am going to instruct my AG to get a special prosecutor to look into your situation bc there's never been anything like your lies.,realDonaldTrump,2016-10-10,43160,19151,en,NA,University City
Basically nothing Hillary has said about her secret server has been true. #CrookedHillary,realDonaldTrump,2016-10-10,22887,8070,en,CrookedHillary,NA
"Hillarys 33,000 deleted emails about her daughters wedding. Thats a lot of wedding emails. #debate",realDonaldTrump,2016-10-10,32274,12793,en,debate,NA
ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,realDonaldTrump,2016-10-10,36832,16843,en,BigLeagueTruth Debates,University City
Obama and Clinton told the same lie to sell #ObamaCare. #Debates2016 https://t.co/vhOLtHrR66,realDonaldTrump,2016-10-10,16238,8907,en,ObamaCare Debates2016,University City
"We must repeal Obamacare and replace it with a much more competitive, comprehensive, affordable system. #debate #MAGA",realDonaldTrump,2016-10-10,20354,6878,en,debate MAGA,NA
"RT @TeamTrump: We agree with Bill, ObamaCare is the craziest thing in the world. #BigLeagueTruth #Debates2016 https://t.co/v2yo6pSYoB",realDonaldTrump,2016-10-10,0,5139,en,BigLeagueTruth Debates2016,NA
.@HillaryClinton : Bill clarified what he meant when calling Obamacare a disaster. Actually disaster is pretty clear. #Debate,realDonaldTrump,2016-10-10,18602,6795,en,Debate,NA
".@HillaryClinton is NOT above the law!#Debates2016 https://t.co/4arYZcGgYZ",realDonaldTrump,2016-10-10,48472,26734,en,Debates2016,University City
RT @realDonaldTrump: ATTN: @HillaryClinton - Why did five of your staffers need FBI IMMUNITY?! #BigLeagueTruth #Debates,realDonaldTrump,2016-10-10,0,16843,en,BigLeagueTruth Debates,NA
"#CrookedHillary has FAILED all over the world! <f4><U+008F><U+00B0><U+0080> #BigLeagueTruth #Debates2016 https://t.co/dalk9JKcFg",realDonaldTrump,2016-10-10,15257,7044,en,CrookedHillary BigLeagueTruth Debates2016,University City
RT @TeamTrump: ONLY @realDonaldTrump will end what even @BillClinton called a CRAZY SYSTEM. #BigLeagueTruth #Debate https://t.co/cgoqZLDXDV,realDonaldTrump,2016-10-10,0,5031,en,BigLeagueTruth Debate,NA
".@HillaryClinton #ICYMI- ""WE ARE NOT IN A NARRATIVE FIGHT.""@Mike_Pence #MAGA https://t.co/FUQzXlyPwY",realDonaldTrump,2016-10-10,17687,7304,en,ICYMI MAGA,University City
.@HillaryClinton - ITS CALLED EXTREME VETTING! #Debates2016 https://t.co/ueq7cbOg9Y,realDonaldTrump,2016-10-10,13940,7027,en,Debates2016,University City
I hope when the MSM runs its interruption counters they consider the # of times the moderators interrupted me com https://t.co/pHEjp8bZVP,realDonaldTrump,2016-10-10,32525,11025,en,NA,NA
Hypocrite! @HillaryClinton claims she needs a public and a private stance in discussions with Wall Street banks. #Debate,realDonaldTrump,2016-10-10,18760,7479,en,Debate,NA
"""YOU NEED BOTH A PUBLIC AND A PRIVATE POSITION""@HillaryClinton #Debates2016 https://t.co/oI2qi2HAdO",realDonaldTrump,2016-10-10,13390,6828,en,Debates2016,University City
"We're going to cut taxes BIG LEAGUE for the middle class. She's raising your taxes and I'm lowering your taxes!https://t.co/ZwIkqNH2FX",realDonaldTrump,2016-10-10,16296,5912,en,NA,University City
"History lesson: Theres a big difference between Hillary Clinton and Abraham Lincoln. For one, his nickname is Hone https://t.co/A5JDkz1eCE",realDonaldTrump,2016-10-10,66347,29807,en,NA,NA
RT @TeamTrump: .@HillaryClinton is RAISING your taxes to a disastrous level. @realDonaldTrump is going to LOWER your taxes - BIG LEAGUE! #D,realDonaldTrump,2016-10-10,0,3892,en,NA,NA
RT @TeamTrump: #RattledHillary wants to talk about her 30 years in service. How about her 30 years of FLOPS<U+2194><U+FE0F>FLOPS?! #BigLeagueTruth #Debat,realDonaldTrump,2016-10-10,0,4952,en,RattledHillary BigLeagueTruth,NA
"Here are Hillary Clinton's ""accomplishments"" at the State Department.#Debates2016 #RattledHillary https://t.co/iouuqXYAdq",realDonaldTrump,2016-10-10,21934,11267,en,Debates2016 RattledHillary,Manhattan
"The world is most peaceful, and most prosperous when America is strongest. https://t.co/Y2Dx7xyBBs",realDonaldTrump,2016-10-10,20438,7726,en,NA,Manhattan
This is the definition of ransom <U+2B07> https://t.co/370piI2JLp,realDonaldTrump,2016-10-10,17471,8785,en,NA,Manhattan
We cannot let this evil continue! #Debates2016 https://t.co/f6BxYyRJID,realDonaldTrump,2016-10-10,17130,7254,en,Debates2016,Manhattan
"RT @TeamTrump: ""We are going to be THRIVING again."" - @realDonaldTrump #BigLeagueTruth #Debates2016 https://t.co/CaFOF7jS7k",realDonaldTrump,2016-10-10,0,5697,en,BigLeagueTruth Debates2016,NA
RT @TeamTrump: .@HillaryClinton had her chance and she BLEW IT. #BigLeagueTruth #Debates https://t.co/d2MI0DCg5Y,realDonaldTrump,2016-10-10,0,5770,en,BigLeagueTruth Debates,NA
RT @TeamTrump: It's hard to fight terrorism when you're making cash payments to the world's LARGEST state sponsor of TERROR. Under Trump: N,realDonaldTrump,2016-10-10,0,13038,en,NA,NA
"In my administration, EVERY American will be treated equally, protected equally, and honored equally #Debate #BigLeagueTruth",realDonaldTrump,2016-10-10,28174,11067,en,Debate BigLeagueTruth,NA
"FACT <U+2714><U+FE0F> on red line in Syria: HRC ""I wasnt there."" Fact: line drawn in Aug 12. HRC Secy of State til Feb 13. https://t.co/4yZjH3TR5B",realDonaldTrump,2016-10-10,21517,11598,en,NA,NA
"If @HillaryClinton is president, shell be all talk and nothing will get done. #Debate #BigLeagueTruth",realDonaldTrump,2016-10-10,26385,9800,en,Debate BigLeagueTruth,NA
"We agree @POTUS-""SHE'LL (Hillary Clinton) SAY ANYTHING &amp; CHANGE NOTHING. IT'S TIME TO TURN THE PAGE"" -President Obama",realDonaldTrump,2016-10-10,34602,14179,en,NA,Manhattan
This country cannot take four more years of Barack Obama! #Debate,realDonaldTrump,2016-10-10,39682,14586,en,Debate,NA
@AC360: How can you unite a country if youve written off tens of millions of Americans? #Deplorables #BigLeagueTruth #Debate,realDonaldTrump,2016-10-10,10257,4811,en,Deplorables BigLeagueTruth Debate,NA
